title,intro_md,cuisine,difficulty,est_minutes
番茄炒鸡蛋,"经典留学生快手菜，10分钟搞定，营养又下饭。",Chinese,1,15
蚝油生菜,"只需一口热锅和蚝油，就能做出脆嫩爽口的生菜。",Chinese,1,12
土豆咖喱鸡,"咖喱粉搭配椰奶，浓郁下饭的家常版咖喱鸡。",Chinese,2,35
酱爆茄子,"茄子吸足酱香，配米饭绝配。",Chinese,2,25
回锅肉,"澳洲超市五花肉也能炒出地道川味回锅肉。",Chinese,3,40
红烧牛腩面,"用高压锅炖牛腩，香浓汤底配拉面。",Chinese,3,60
Spaghetti Bolognese,"经典意式肉酱面，番茄与牛肉的完美结合。",Western,1,25
Creamy Mushroom Pasta,"奶油蘑菇酱浓郁顺滑，20分钟即可上桌。",Western,1,20
Chicken Quesadilla,"墨西哥风味鸡肉芝士夹饼，平底锅快速完成。",Western,2,18
Avocado Toast,"牛油果吐司配上溏心蛋，营养早餐首选。",Western,1,10
Garlic Butter Salmon,"黄油蒜香三文鱼，烤箱 15 分钟完成。",Western,2,25
One-Pan Sausage & Veg,"香肠蔬菜一盘烤，懒人晚餐不洗锅。",Western,2,30
